;Wind moon encounter - 27th December 1994 - Corrected B-field
;1 minute GSE averages.
;
;C.J.Owen, 29th November 1995.
;C.J.Owen@qmw.ac.uk
;
;     time (hrs)       bx	   by	       bz	   bmag
;
      11.9629      3.80071      5.62683    -0.360793      6.80068
      11.9796      3.95037      5.59588    -0.300663      6.85772
      11.9962      4.01599      5.53119    -0.150270      6.83760
      12.0129      4.01014      5.61909    -0.188057      6.90688
      12.0296      3.94830      5.66524    -0.291189      6.91228
      12.0463      3.99967      5.58650    -0.291236      6.87924
      12.0629      4.11396      5.65355    0.0651000      6.99264
      12.0796      4.11411      5.68879    0.0528021      7.02115
      12.0963      4.00262      5.70241   0.00490597      6.96781
      12.1129      3.93734      5.73785    0.0865018      6.96095
      12.1296      3.87357      5.82749     0.172699      7.00066
      12.1462      3.88940      5.83517     0.164529      7.01509
      12.1629      3.88562      5.86463     0.194749      7.03842
      12.1820      4.13119      5.65091     0.155368      7.04003
      12.1988      4.09939      5.58172     0.119000      6.92711
      12.2154      4.06226      5.57639     0.133366      6.90144
      12.2321      4.05332      5.81558     0.398551      7.10107
      12.2487      4.14720      5.79251     0.629756      7.15353
      12.2654      4.23963      5.86224     0.529037      7.25425
      12.2821      4.29856      5.77064     0.678379      7.23056
      12.2987      4.27334      5.75599     0.727456      7.20687
      12.3154      4.25420      5.66404     0.864227      7.13725
      12.3321      4.20514      5.73453     0.701531      7.14698
      12.3487      4.18689      5.71316     0.779895      7.12705
      12.3654      4.12582      5.71443     0.867156      7.10364
      12.3821      4.14475      5.72474     0.835033      7.11883
      12.3987      4.12095      5.80015     0.846760      7.16732
      12.4154      4.18310      5.84073     0.836426      7.23349
      12.4321      4.04075      5.84349     0.741755      7.14408
      12.4488      3.99489      5.94881     0.566934      7.18931
      12.4654      3.97708      5.88695     0.817483      7.16313
      12.4821      4.17535      5.40429      1.18060      6.93616
      12.4987      4.00947      5.53467      1.17632      6.93931
      12.5154      4.45965      5.33484      1.78358      7.18121
      12.5321      4.52819      5.27706      1.86824      7.20120
      12.5487      4.45258      5.15669      1.66135      7.01441
      12.5654      4.98919      4.61875      2.21341      7.16229
      12.5821      4.92182      4.71302      1.90636      7.08343
      12.5987      5.00626      4.66289      2.18344      7.18327
      12.6154      4.89762      4.68671      1.88376      7.03762
      12.6321      4.64257      4.81513      1.69290      6.90238
      12.6487      4.59784      4.96868      1.41181      6.91772
      12.6654      4.77008      4.84708      1.32995      6.93280
      12.6821      4.93484      4.75112      1.12567      6.94252
      12.6988      4.86350      4.84526      1.03139      6.94387
      12.7154      4.85120      4.89195     0.987625      6.96243
      12.7321      4.71817      5.08702      1.00418      7.01240
      12.7487      4.65085      5.07074     0.877493      6.93709
      12.7654      4.66501      5.03799     0.891509      6.92548
      12.7821      4.53537      5.14633     0.912425      6.92070
